accession,taxid,superkingdom,phylum,class,order,family,genus,species,strain
X04256,7227,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,
X04243,7227,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,
X54113,7612,Eukaryota,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,
X07913,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
X03460,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
X60726,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
X67031,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
X02665,9606,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,
X03987,1718,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,
X04212,10116,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,
X00093,8355,Eukaryota,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,
K00781,10116,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,
L07305,5037,Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Histoplasma,Histoplasma capsulatum,
M64985,5037,Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Histoplasma,Histoplasma capsulatum,
M33777,9557,Eukaryota,Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio hamadryas,
M12856,9031,Eukaryota,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,
K00034,10116,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,
K00027,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
