accession,taxid,superkingdom,phylum,class,order,family,genus,species,strain
AF017163,4285,Eukaryota,Streptophyta,,Cornales,Cornaceae,Cornus,Cornus mas,
AJ002765,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
AJ236561,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
AP000423,3702,Eukaryota,Streptophyta,,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana,
AJ236035,4148,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Jasminum,Jasminum simplicifolium,
AJ131696,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
AJ278626,4129,Eukaryota,Streptophyta,,Solanales,Convolvulaceae,Cuscuta,Cuscuta reflexa,
AJ297958,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
AJ297959,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
Z70241,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
AF356038,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
AF479132,112806,Eukaryota,Streptophyta,,Crossosomatales,Aphloiaceae,Aphloia,Aphloia theiformis,
AF479229,66672,Eukaryota,Streptophyta,,Malvales,Bixaceae,Bixa,Bixa orellana,
AC127428,3880,Eukaryota,Streptophyta,,Fabales,Fabaceae,Medicago,Medicago truncatula,
AF528924,4285,Eukaryota,Streptophyta,,Cornales,Cornaceae,Cornus,Cornus mas,
AY780259,71271,Eukaryota,Streptophyta,,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus globulus,
AY845068,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
AY845074,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
AY845075,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
DQ006108,126363,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Chionanthus,Chionanthus virginicus,
AP007232,4236,Eukaryota,Streptophyta,,Asterales,Asteraceae,Lactuca,Lactuca sativa,
AJ620480,4146,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Olea,Olea europaea,
DQ673255,126431,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Jasminum,Jasminum nudiflorum,
DQ673256,205688,Eukaryota,Streptophyta,,Lamiales,Oleaceae,Forsythia,Forsythia europaea,
DQ898156,4039,Eukaryota,Streptophyta,,Apiales,Apiaceae,Daucus,Daucus carota,
AM434093,29760,Eukaryota,Streptophyta,,Vitales,Vitaceae,Vitis,Vitis vinifera,
EF380354,145286,Eukaryota,Streptophyta,,Austrobaileyales,Schisandraceae,Illicium,Illicium oligandrum,
EU519465,119927,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria tenuissima,
