accession,strain,qseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,sseqid_2
AB078815,Aspergillus oryzae,Oe6_s06580,76.858,1305,277,22,25847,27140,1468,178,0,713,1
AB128918,Escherichia coli,Oe6_s11194,99.915,1174,0,1,9,1181,10924,9751,0,2161,1
AB128921,Escherichia coli,Oe6_s11194,100,1172,0,0,10,1181,446,1617,0,2165,1
AB179181,Macaca fascicularis,Oe6_s07662,87.5,112,6,8,413,521,1,107,7.8e-24,122,1
AB225235,Aspergillus oryzae,Oe6_s10369,80.863,371,63,7,37195,37561,474,840,7.54e-71,285,1
AB226125,Aspergillus oryzae,Oe6_s06580,76.641,1310,276,27,25847,27140,1571,276,0,697,1
AB226130,Aspergillus oryzae,Oe6_s06580,76.669,1453,287,40,8073,9499,1477,51,0,758,1
AB269770,Escherichia coli,Oe6_s11194,99.659,1172,4,0,10,1181,7014,5843,0,2143,1
AB437137,Shuttle vector pCRA429,Oe6_s09290,100,858,0,0,271,1128,4315,3458,0,1585,1
AB437137,Shuttle vector pCRA429,Oe6_s05375,100,650,0,0,1,650,3227,2578,0,1201,1
AB444682,Shuttle vector pCRB1,Oe6_s09290,100,858,0,0,271,1128,4048,3191,0,1585,1
AB444682,Shuttle vector pCRB1,Oe6_s05375,100,650,0,0,1,650,2960,2311,0,1201,1
AB526352,Shuttle vector pCRB2,Oe6_s09290,99.651,859,3,0,270,1128,1818,960,0,1570,1
AB526352,Shuttle vector pCRB2,Oe6_s05375,99.846,650,1,0,1,650,729,80,0,1195,1
AB761678,Homo sapiens,Oe6_s09260,99.038,416,3,1,830,1245,581,167,0,745,1
AB812025,Escherichia coli,Oe6_s11194,99.829,1172,2,0,10,1181,5285,4114,0,2154,1
AB822494,Klebsiella sp. 1303/50,Oe6_s11194,99.403,1172,7,0,10,1181,7067,5896,0,2134,1
AB822494,Klebsiella sp. 1303/50,Oe6_s11194,100,1172,0,0,10,1181,11900,13071,0,2165,1
AB924587,Klebsiella sp. 1303/50,Oe6_s11194,100,1172,0,0,10,1181,11900,13071,0,2165,1
AB924587,Klebsiella sp. 1303/50,Oe6_s11194,99.403,1172,7,0,10,1181,7067,5896,0,2134,1
AC019340,Homo sapiens,Oe6_s09260,76.395,1237,223,39,3,1216,69170,70360,5.64e-168,603,7
AC019340,Homo sapiens,Oe6_s09260,77.194,1162,195,38,100,1244,22688,23796,2.61e-171,614,7
AC019340,Homo sapiens,Oe6_s09260,76.581,1281,227,41,4,1243,14331,15579,5.56e-178,636,7
AC019340,Homo sapiens,Oe6_s09260,76.85,1270,234,36,3,1242,68553,69792,0,662,7
AC022370,Homo sapiens,Oe6_s09260,94.948,1247,57,4,1,1245,178803,177561,0,1949,28
AC022370,Homo sapiens,Oe6_s09260,78.956,1283,198,48,3,1245,161520,160270,0,808,28
AC022370,Homo sapiens,Oe6_s09260,95.269,1247,53,4,1,1245,170262,169020,0,1971,28
AC022370,Homo sapiens,Oe6_s09260,89.57,1256,96,15,2,1245,156785,155553,0,1561,28
AC022370,Homo sapiens,Oe6_s09260,80.254,1261,186,36,1,1243,168904,167689,0,891,28
AC022370,Homo sapiens,Oe6_s09260,79.026,1273,192,40,1,1243,154969,153742,0,802,28
AC022370,Homo sapiens,Oe6_s09260,91.987,1273,66,19,1,1245,152611,151347,0,1753,28
AC022370,Homo sapiens,Oe6_s09260,86.294,1233,139,18,28,1245,154412,153195,0,1314,28
AC022370,Homo sapiens,Oe6_s09260,83.833,1268,151,36,1,1235,166016,164770,0,1157,28
AC022370,Homo sapiens,Oe6_s09260,79.117,1269,210,35,1,1243,160154,158915,0,824,28
AC022370,Homo sapiens,Oe6_s09260,86.45,1262,119,36,17,1245,159249,158007,0,1336,28
AC022370,Homo sapiens,Oe6_s09260,80.873,1260,183,38,1,1245,151104,149888,0,939,28
AC022370,Homo sapiens,Oe6_s09260,83.227,1258,163,28,1,1239,159688,158460,0,1110,28
AC022370,Homo sapiens,Oe6_s09260,79.37,1270,191,44,3,1245,174515,173290,0,828,28
AC022370,Homo sapiens,Oe6_s09260,93.745,1247,62,5,1,1245,175076,173844,0,1857,28
AC022370,Homo sapiens,Oe6_s09260,94.066,1247,67,5,1,1245,167841,166600,0,1886,28
AC022370,Homo sapiens,Oe6_s09260,80.784,1275,177,44,1,1243,177445,176207,0,935,28
AC022370,Homo sapiens,Oe6_s09260,85.162,1267,141,24,1,1243,176977,175734,0,1254,28
AC022370,Homo sapiens,Oe6_s09260,80.471,1275,177,47,1,1245,159067,157835,0,909,28
AC022370,Homo sapiens,Oe6_s09260,83.373,1257,163,27,1,1239,164054,162826,0,1122,28
AC022370,Homo sapiens,Oe6_s09260,94.627,1247,60,5,1,1245,172087,170846,0,1925,28
AC022370,Homo sapiens,Oe6_s09260,83.82,1267,157,26,1,1243,154511,153269,0,1160,28
AC022370,Homo sapiens,Oe6_s09260,79.587,1259,198,35,1,1243,166484,165269,0,846,28
AC022370,Homo sapiens,Oe6_s09260,76.466,1279,200,59,3,1245,177150,175937,2.03e-167,601,28
AC022370,Homo sapiens,Oe6_s09260,80.503,1272,178,45,1,1243,163433,162203,0,911,28
AC022370,Homo sapiens,Oe6_s09260,81.604,1272,188,28,3,1243,157451,156195,0,1011,28
AC022370,Homo sapiens,Oe6_s09260,78.488,1283,204,47,3,1245,174817,173567,0,774,28
AC022370,Homo sapiens,Oe6_s09260,86.736,1259,121,29,17,1245,163615,162373,0,1358,28
AC022370,Homo sapiens,Oe6_s09260,79.262,1273,199,43,1,1243,153079,151842,0,828,28
AC022370,Homo sapiens,Oe6_s09260,80.222,1259,186,36,3,1243,173148,171935,0,887,28
AC022370,Homo sapiens,Oe6_s09260,87.54,1236,119,20,28,1245,176878,175660,0,1397,28
AC022370,Homo sapiens,Oe6_s09260,83.886,1266,159,26,1,1243,157522,156279,0,1166,28
AC022370,Homo sapiens,Oe6_s09260,79.079,1195,178,38,106,1245,165813,164636,0,756,28
AC022370,Homo sapiens,Oe6_s09260,84.38,1274,136,41,1,1232,172682,171430,0,1192,28
AC022370,Homo sapiens,Oe6_s09260,79.734,1278,190,43,1,1239,175544,174297,0,861,28
AC022370,Homo sapiens,Oe6_s09260,84.458,1274,135,41,1,1232,168436,167184,0,1197,28
AC022370,Homo sapiens,Oe6_s09260,88.615,1256,108,24,3,1245,151173,149940,0,1495,28
AC022370,Homo sapiens,Oe6_s09260,82.474,1261,165,41,1,1242,165421,164198,0,1053,28
AC022370,Homo sapiens,Oe6_s09260,94.868,1247,58,4,1,1245,161789,160547,0,1943,28
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,88179,88285,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,83685,83791,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,57990,58096,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,89438,89544,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,95572,95678,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,62726,62832,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,39068,39174,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,29318,29424,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,45220,45326,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,32934,33040,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,77530,77636,7.8e-24,122,5
AC024051,Homo sapiens,Oe6_s07662,87.5,112,6,8,413,521,51381,51487,7.8e-24,122,5
AC025223,Homo sapiens,Oe6_s09260,76.502,1315,210,56,7,1243,58207,56914,1.2e-174,625,6
AC025223,Homo sapiens,Oe6_s09260,82.53,1265,161,32,7,1245,57839,56609,0,1057,6
AC026131,Homo sapiens,Oe6_s09260,85.463,1252,141,27,7,1242,103911,105137,0,1266,4
AC026131,Homo sapiens,Oe6_s09260,80.54,1259,196,32,1,1242,104129,105355,0,922,4
AC026131,Homo sapiens,Oe6_s09260,90.938,949,45,16,2,934,114449,115372,0,1238,4
