s1,e1,s2,e2,len1,len2,p.idy,lenr,lenq,covr,covq,ref,quer
400935,403099,10767,8603,2165,2165,100,694276,350255,0.31,0.62,Oe6_s00066,KL584998.1
422397,424535,2351,4489,2139,2139,100,486379,8576,0.44,24.94,Oe6_s00132,KL585040.1
276245,277064,1457,2276,820,820,100,357087,334468,0.23,0.25,Oe6_s00207,KL585000.1
1,10548,368228,357686,10548,10543,98.21,14820,1166847,71.17,0.9,Oe6_s00957,KL584983.1
10736,14820,357391,353294,4085,4098,96.01,14820,1166847,27.56,0.35,Oe6_s00957,KL584983.1
1,3208,368752,371960,3208,3209,98.35,4365,1166847,73.49,0.28,Oe6_s01218,KL584983.1
1,797,31303,30507,797,797,94.48,1011,101594,78.83,0.78,Oe6_s01644,KL585017.1
39623,40886,836345,837608,1264,1264,100,637555,1193979,0.2,0.11,Oe6_s02001,KL584982.1
74458,75064,1343915,1343309,607,607,100,485413,1900854,0.13,0.03,Oe6_s02054,KL584976.1
212323,216072,973,4722,3750,3750,99.97,320931,1166847,1.17,0.32,Oe6_s02157,KL584983.1
69569,70215,773505,772859,647,647,100,305705,1193979,0.21,0.05,Oe6_s02173,KL584982.1
16902,17687,357983,358768,786,786,100,96372,440480,0.82,0.18,Oe6_s02483,KL584992.1
13895,16444,39907,42456,2550,2550,100,66427,44162,3.84,5.77,Oe6_s02566,KL585029.1
24408,25509,999,2100,1102,1102,100,28925,47067,3.81,2.34,Oe6_s02774,KL585027.1
1,1855,210306,208453,1855,1854,96.01,1878,350255,98.78,0.53,Oe6_s03376,KL584998.1
538311,539504,2343,3536,1194,1194,100,630610,8576,0.19,13.92,Oe6_s03923,KL585040.1
470125,472613,777272,774784,2489,2489,100,549315,1193979,0.45,0.21,Oe6_s03949,KL584982.1
413254,414074,2284,1464,821,821,100,513624,334468,0.16,0.25,Oe6_s03962,KL585000.1
212257,213571,836346,837660,1315,1315,100,255488,1193979,0.51,0.11,Oe6_s04144,KL584982.1
19219,21118,8596,10495,1900,1900,100,253685,350255,0.75,0.54,Oe6_s04147,KL584998.1
90702,91398,1025127,1025823,697,697,100,204271,1390977,0.34,0.05,Oe6_s04211,KL584978.1
25406,27060,4127,5781,1655,1655,100,67340,10182,2.46,16.25,Oe6_s04485,KL585036.1
1,630,78821,78192,630,630,96.51,646,2117705,97.52,0.03,Oe6_s05664,KL584975.1
335586,336503,3671,2754,918,918,100,1282910,29073,0.07,3.16,Oe6_s05772,KL585033.1
296386,297392,1345768,1344762,1007,1007,100,756235,1900854,0.13,0.05,Oe6_s05816,KL584976.1
90304,90898,232884,232290,595,595,100,710742,297689,0.08,0.2,Oe6_s05826,KL585002.1
261881,262563,1158821,1159503,683,683,99.56,593201,1193979,0.12,0.06,Oe6_s05853,KL584982.1
248715,249859,41045,39901,1145,1145,100,332456,44162,0.34,2.59,Oe6_s05992,KL585029.1
178011,178604,232875,232282,594,594,100,302536,297689,0.2,0.2,Oe6_s06016,KL585002.1
180730,181653,42461,41538,924,924,100,264370,44162,0.35,2.09,Oe6_s06058,KL585029.1
6398,9017,582929,580310,2620,2620,100,18873,839173,13.88,0.31,Oe6_s06683,KL584985.1
2693,4537,32295,30455,1845,1841,94.27,15962,350255,11.56,0.53,Oe6_s06709,KL584998.1
4773,6537,30386,28620,1765,1767,94.74,15962,350255,11.06,0.5,Oe6_s06709,KL584998.1
49816,52245,3664,1235,2430,2430,100,935412,29073,0.26,8.36,Oe6_s07714,KL585033.1
301005,302095,3850,2760,1091,1091,99.91,305419,41489,0.36,2.63,Oe6_s07937,KL585030.1
134936,137424,777279,774791,2489,2489,100,230655,1193979,1.08,0.21,Oe6_s08018,KL584982.1
118511,121216,585305,588010,2706,2706,100,218996,839173,1.24,0.32,Oe6_s08035,KL584985.1
149268,154336,163907,168962,5069,5056,97.34,154336,297689,3.28,1.7,Oe6_s08070,KL585002.1
1258549,1260326,1343990,1345767,1778,1778,100,2089551,1900854,0.09,0.09,Oe6_s09608,KL584976.1
17262,18881,2584,965,1620,1620,100,1570811,1166847,0.1,0.14,Oe6_s09611,KL584983.1
371303,372088,358775,357990,786,786,100,668144,440480,0.12,0.18,Oe6_s09679,KL584992.1
97904,98552,773513,772865,649,649,100,437849,1193979,0.15,0.05,Oe6_s09765,KL584982.1
124307,125116,11311,12120,810,810,100,405787,350255,0.2,0.23,Oe6_s09784,KL584998.1
166725,169344,580317,582936,2620,2620,100,291326,839173,0.9,0.31,Oe6_s09871,KL584985.1
48838,49541,1025838,1025136,704,703,99.72,280852,1390977,0.25,0.05,Oe6_s09882,KL584978.1
81147,83852,585312,588017,2706,2706,100,237397,839173,1.14,0.32,Oe6_s09933,KL584985.1
138911,139933,2712,1690,1023,1023,100,197663,47067,0.52,2.17,Oe6_s09983,KL585027.1
120218,121335,2774,3891,1118,1118,100,165977,41489,0.67,2.69,Oe6_s10031,KL585030.1
41462,42159,5011,4314,698,698,96.42,63418,546779,1.1,0.13,Oe6_s10261,KL584989.1
4,899,885115,886010,896,896,99.33,4336,2687588,20.66,0.03,Oe6_s10828,KL584974.1
