s1,e1,s2,e2,len1,len2,p.idy,lenr,lenq,covr,covq,ref,quer
1,3343,57978,61307,3343,3330,97.28,3343,101594,100,3.28,Oe6_s01299,KL585017.1
1,1131,601661,600531,1131,1131,96.29,1131,2687588,100,0.04,Oe6_s01603,KL584974.1
1,1125,102446,103566,1125,1121,98.84,1125,410013,100,0.27,Oe6_s01606,KL584994.1
1,841,47681,46841,841,841,97.5,841,101594,100,0.83,Oe6_s01722,KL585017.1
1,772,473581,474352,772,772,99.09,772,1266703,100,0.06,Oe6_s01757,KL584980.1
1,597,489119,488537,597,583,94.97,597,1266703,100,0.05,Oe6_s01852,KL584980.1
2,3249,470145,473401,3248,3257,96.18,3249,1266703,99.97,0.26,Oe6_s03228,KL584980.1
1,1486,406635,408120,1486,1486,99.6,1486,1216709,100,0.12,Oe6_s03435,KL584981.1
1,974,2098300,2099273,974,974,97.33,981,2687588,99.29,0.04,Oe6_s03584,KL584974.1
1,945,454977,455921,945,945,97.25,945,546779,100,0.17,Oe6_s03596,KL584989.1
1,928,36934,37860,928,927,99.46,928,101594,100,0.91,Oe6_s03605,KL585017.1
1,836,480718,481558,836,841,95.87,836,1266703,100,0.07,Oe6_s03646,KL584980.1
1,653,59456,60107,653,652,94.18,653,410013,100,0.16,Oe6_s03739,KL584994.1
1,611,451683,451073,611,611,99.18,611,546779,100,0.11,Oe6_s03764,KL584989.1
1,556,603415,602860,556,556,97.84,556,2687588,100,0.02,Oe6_s03799,KL584974.1
1,2274,406577,404303,2274,2275,98.68,2274,1216709,100,0.19,Oe6_s05234,KL584981.1
1,1586,49908,51493,1586,1586,99.37,1586,101594,100,1.56,Oe6_s05341,KL585017.1
1,1410,1131894,1133295,1410,1402,98.51,1410,1166847,100,0.12,Oe6_s05371,KL584983.1
1,1351,39323,37976,1351,1348,98.96,1351,101594,100,1.33,Oe6_s05383,KL585017.1
1,984,79864,78877,984,988,97.06,984,2117705,100,0.05,Oe6_s05504,KL584975.1
1,964,605857,604875,964,983,95.42,964,2687588,100,0.04,Oe6_s05511,KL584974.1
1,649,299196,299838,649,643,98.61,649,2687588,100,0.02,Oe6_s05662,KL584974.1
1,2456,1794574,1797029,2456,2456,99.8,2456,1900854,100,0.13,Oe6_s07137,KL584976.1
1,1331,185349,186680,1331,1332,96.92,1332,1266703,99.92,0.11,Oe6_s07311,KL584980.1
1,998,69889,68892,998,998,97.09,998,2687588,100,0.04,Oe6_s07419,KL584974.1
1,6029,90716,84695,6029,6022,96.7,6029,2117705,100,0.28,Oe6_s08815,KL584975.1
1,1717,428597,426881,1717,1717,98.72,1717,1216709,100,0.14,Oe6_s09163,KL584981.1
1,1012,48935,49945,1012,1011,98.72,1012,101594,100,1,Oe6_s09328,KL585017.1
1,754,107088,107841,754,754,98.67,754,183854,100,0.41,Oe6_s09451,KL585011.1
1,3113,79889,83008,3113,3120,96.7,3113,2117705,100,0.15,Oe6_s10924,KL584975.1
1,2795,1141801,1139008,2795,2794,97.28,2795,1166847,100,0.24,Oe6_s10948,KL584983.1
1,2665,236201,233537,2665,2665,99.21,2665,1166847,100,0.23,Oe6_s10961,KL584983.1
1,1399,83314,84711,1399,1398,97.64,1399,2117705,100,0.07,Oe6_s11137,KL584975.1
1,1153,1129514,1128363,1153,1152,94.54,1153,1166847,100,0.1,Oe6_s11203,KL584983.1
1,985,457665,456681,985,985,94.62,985,546779,100,0.18,Oe6_s11267,KL584989.1
1,735,603982,604715,735,734,94.83,735,2687588,100,0.03,Oe6_s11384,KL584974.1
1,682,488566,487885,682,682,98.09,682,1266703,100,0.05,Oe6_s11411,KL584980.1
