s1,e1,s2,e2,len1,len2,p.idy,lenr,lenq,covr,covq,ref,quer
1,5508,5544,35,5508,5510,99.93,5508,5695,100,96.75,Oe6_s01156,LVWM01000672.1
1,1131,1315,185,1131,1131,100,1131,1363,100,82.98,Oe6_s01603,LVWM01001133.1
1,1125,1682,2806,1125,1125,100,1125,4759,100,23.64,Oe6_s01606,LVWM01000723.1
1,772,9592,8821,772,772,100,772,16568,100,4.66,Oe6_s01757,LVWM01000385.1
1,702,3800,3099,702,702,100,702,4291,100,16.36,Oe6_s01796,LVWM01000761.1
1,597,3585,4181,597,597,100,597,8297,100,7.2,Oe6_s01852,LVWM01000580.1
1,1486,3739,5224,1486,1486,100,1486,9688,100,15.34,Oe6_s03435,LVWM01000536.1
1,1017,16042,15026,1017,1017,100,1017,45057,100,2.26,Oe6_s03563,LVWM01000057.1
1,981,1003,23,981,981,100,981,4368,100,22.46,Oe6_s03584,LVWM01000758.1
1,928,30,957,928,928,100,928,7281,100,12.75,Oe6_s03605,LVWM01000607.1
1,836,2429,1594,836,836,100,836,16568,100,5.05,Oe6_s03646,LVWM01000385.1
1,611,2882,3492,611,611,100,611,4238,100,14.42,Oe6_s03764,LVWM01000766.1
1,556,663,108,556,556,100,556,1349,100,41.22,Oe6_s03799,LVWM01001136.1
1,5750,7985,2236,5750,5750,99.98,5750,24562,100,23.41,Oe6_s04984,LVWM01000271.1
1,2274,3681,1408,2274,2274,100,2274,9688,100,23.47,Oe6_s05234,LVWM01000536.1
8,2000,1,1993,1993,1993,100,2000,2649,99.65,75.24,Oe6_s05275,LVWM01000898.1
1,1351,2423,1073,1351,1351,100,1351,7281,100,18.56,Oe6_s05383,LVWM01000607.1
1,964,991,28,964,964,100,964,1028,100,93.77,Oe6_s05511,LVWM01001330.1
1,3537,54164,50626,3537,3539,99.94,3537,70703,100,5.01,Oe6_s07049,LVWM01000015.1
1,3537,8450,4914,3537,3537,100,3537,12494,100,28.31,Oe6_s07049,LVWM01000460.1
1,1551,8758,10308,1551,1551,100,1551,13879,100,11.18,Oe6_s07268,LVWM01000430.1
1,998,10750,11747,998,998,100,998,29683,100,3.36,Oe6_s07419,LVWM01000205.1
1,998,8981,9978,998,998,100,998,26014,100,3.84,Oe6_s07419,LVWM01000245.1
1,998,17617,16620,998,998,100,998,19013,100,5.25,Oe6_s07419,LVWM01000347.1
1,5871,78,5949,5871,5872,99.98,5871,6034,100,97.32,Oe6_s08822,LVWM01000656.1
1,1012,379,1390,1012,1012,100,1012,3136,100,32.27,Oe6_s09328,LVWM01000850.1
1,754,1027,274,754,754,100,754,1086,100,69.43,Oe6_s09451,LVWM01001271.1
1,2795,2865,70,2795,2796,99.93,2795,2868,100,97.49,Oe6_s10948,LVWM01000875.1
1,2665,1470,4134,2665,2665,100,2665,4240,100,62.85,Oe6_s10961,LVWM01000765.1
1,1399,365,1763,1399,1399,100,1399,1787,100,78.29,Oe6_s11137,LVWM01001037.1
1,1277,1286,10,1277,1277,100,1277,1344,100,95.01,Oe6_s11170,LVWM01001137.1
1,1153,1217,65,1153,1153,100,1153,1325,100,87.02,Oe6_s11203,LVWM01001149.1
1,1046,41,1086,1046,1046,100,1046,1095,100,95.53,Oe6_s11237,LVWM01001262.1
1,985,1252,2236,985,985,100,985,2510,100,39.24,Oe6_s11267,LVWM01000918.1
1,898,52786,51889,898,898,100,898,52819,100,1.7,Oe6_s11303,LVWM01000037.1
1,682,4152,4833,682,682,100,682,8297,100,8.22,Oe6_s11411,LVWM01000580.1
1,534,179,712,534,534,100,534,1311,100,40.73,Oe6_s11498,LVWM01001152.1
